등록일,제목,링크
2023.1.10,2023-1학기 학부 재학생(복학 신청자 포함) 등록금 납부 연기(2차)..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19411
2023.1.10,2023-1학기 대학원 재학생(복학 신청자 포함) 등록금 납부 연기(2차..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19410
2023.4.26,2023학년도 목포대학교 하계계절학기 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19946
2023.4.26,2023학년도 전남대학교 하계계절학기 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19943
2023.4.21,2023학년도 순천대학교 하계계절학기 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19924
2023.4.20,2023학년도 부산대학교 하계계절학기 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19916
2023.4.10,2023학년도 1학기 중간시험 및 1차(중간)수업평가 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19878
2023.4.10,전자출결앱 재설치 안내(아이폰 사용자),https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19877
2023.3.31,2023학년도 1학기 2차 조기취업자 승인 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19830
2023.3.28,2023학년도 1학기 학점인정(군복무중 학점취득/K-MOOC강좌)신청기간..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19811
2023.3.15,2023학년도 1학기 수강과목 취소 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19751
2023.3.10,2023학년도 1학기 추가 수강신청 기간 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&mode=view&idx=19709
2023.1.10,2023-1학기 학부 재학생(복학 신청자 포함) 등록금 납부 연기(2차)..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19411
2023.1.10,2023-1학기 대학원 재학생(복학 신청자 포함) 등록금 납부 연기(2차..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19410
2023.3.10,2023학년도 1학기 3차 폐강강좌 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19708
2023.3.6,2023학년도 1학기 1차 조기취업 승인 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19675
2023.3.6,2023학년도 1학기 조기졸업 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19671
2023.3.6,2023학년도 1학기 융합전공 중복인정 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19670
2023.3.2,2023학년도 1학기 수강신청 정정기간 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19653
2023.2.28,2023학년도 1학기 2차 폐강강좌 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19642
2023.2.27,2023학년도 1학기 공적결석시스템 운영 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19629
2023.2.27,2023학년도 1학기 전자출결시스템 설치 및 사용방법 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19628
2023.2.22,2023학년도 1학기 신(편)입생 수강신청,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19598
2023.2.17,2023학년도 1학기 1차 폐강강좌 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=2&mode=view&idx=19577
2023.1.10,2023-1학기 학부 재학생(복학 신청자 포함) 등록금 납부 연기(2차)..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19411
2023.1.10,2023-1학기 대학원 재학생(복학 신청자 포함) 등록금 납부 연기(2차..,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19410
2023.2.13,2023학년도 1학기 조기취업 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19552
2023.2.9,2023학년도 1학기 2차 수강신청 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19530
2023.2.2,2023학년도 1학기 강의핵심노트 공개,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19507
2023.1.18,2023학년도 1학기 1차 수강신청 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19442
2023.1.13,2023학년도 제1학기 재입학 시행 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19423
2023.1.5,2022학년도 2학기 학기 재이수 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19395
2023.1.3,2023학년도 제1학기 전과 시행 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19388
2022.12.26,2023학년도 제1학기 제2전공 신청 및 포기 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19359
2022.12.21,2023학년도 제1학기 휴학 및 복학 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19343
2022.12.19,2022학년도 2학기 학사학위취득유예(졸업연기) 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notiuniv&pg=3&mode=view&idx=19332
