등록일,제목,링크
2023-04-27,우체국쇼핑몰 『정읍시 브랜드관』 기획전 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2509
2023-04-26,『2023 목포해상W쇼』 포스터 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2508
2023-04-26,『2023 목포노을 드론라이트쇼』 포스터 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2507
2023-04-26,김제시 조직개편에 따른 투자통상과 명칭 변경 알림,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2506
2023-04-26,『2023 가평 구석구석 모바일 스탬프투어』 운영 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2505
2023-04-26,우리 가족이 함께하는 해양교육 캠프 운영 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2504
2023-04-26,'2023 온라인 자원봉사 교육플랫폼' 운영 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2503
2023-04-26,제10회 해양수산 정보서비스·비즈니스 아이디어 공모전 참여자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2501
2023-04-26,2023년 전남형 청년공동체 활성화 사업 참여자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2500
2023-04-26,2023년 연구실 안전 대국민 공모전 참여자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2499
2023-04-26,2023 목포시 숏폼 영상 공모전 참여자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2498
2023-04-25,전주공예품전시관 2023년 4월 추천상품 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2497
2023-04-24,방촌유물전시관 임시휴관 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2496
2023-04-24,2023년 제46회 보성다향대축제 개최 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2495
2023-04-24,"『영광쉼休,투어』 운영 안내",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&mode=view&idx=2494
2023-04-24,차세대 건설리더 아카데미 20기 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2492
2023-04-21,「2024 강원 동계청소년올림픽대회」 자원봉사자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2490
2023-04-20,SW분야 개발자 양성과정 KDT과정 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2489
2023-04-20,KOFIH 제8회 글로벌헬스포럼 개최 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2488
2023-04-20,2023 전국(장애인)체전 자원봉사자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2487
2023-04-19,2023학년도 기업탐방형 일경험프로그램(공공기관) 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2486
2023-04-17,[환경보존협회]2023년 그린캠퍼스 대학 환경동아리 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2485
2023-04-17,고용노동부 「2023 해외일경험(WELL)」 미국(동부) 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2484
2023-04-13,2023 KOICA-UNV 대학생봉사단(9기) 모집 설명회 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2482
2023-04-11,2023년 제1차 대학생 동아리 지원사업 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2481
2023-04-10,[KISIA 한국정보보호교육원] 2023 AI보안 기술개발 교육과정(악성코드/네트워크/개인정보),https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=2&mode=view&idx=2480
