등록일,제목,링크
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=14618
2023-04-13,[대학일자리플러스센터] 취업성공전략 학점과정(전국 에너지공동학점과정) 수..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19888
2023-04-13,[학생상담센터] 2023학년 1학기 학생상담센터 집단 프로그램 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19887
2023-04-11,2023년 상반기 기숙사 화재대피 및 지진대응 훈련 실시,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19882
2023-04-10,'뉴질랜드로 떠나는' 파란사다리 설명회 안내(대상자 별도 문자 안내),https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19876
2023-04-10,[학생상담센터] 2023학년도 온라인 스마트폰 인터넷 과의존 예방교육 안..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19871
2023-04-07,2023학년도 신입생 및 재학생 실태조사,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19865
2023-04-07,[대학일자리플러스센터] 기업체 실무인재 양성과정(캐드자격취득) 참여학생 ..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19863
2023-04-06,"[학생상담센터] ""Be With You"" 또래상담? 또래상담!",https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19862
2023-04-04,[대학일자리플러스센터] 2023년 상반기 일양약품(주) 채용설명회,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19851
2023-04-03,[CTL] 2023학년도 학습코칭 프로그램 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&mode=view&idx=19848
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=14618
2023-04-03,[원격교육지원센터] K-MOOC 모니터링단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19847
2023-03-31,[교수학습센터] 2023-1 학습법 특강(디지털배움터) - [SW역량강화..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19842
2023-03-31,시설·안전관리팀 관련 - 규정 - 일부 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19839
2023-03-28,[대학일자리플러스센터] 2023학년도 1학기 워크북컨설팅프로그램 참여자 ..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19816
2023-03-28,[국제교육원] 대학생 글로벌 비전캠프 특강에 초대합니다 :D,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19813
2023-03-28,[원격교육지원센터] 알아두면 쓸데 많은 동신대 잡학사전 <알쓸동잡!> -..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19812
2023-03-27,교수학습센터 관리 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19801
2023-03-24,[교수학습센터] 2023학년도 1학기 학생 간 학습공동체 프로그램 선정 ..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19797
2023-03-23,[원격교육지원센터] 2023년 한국형 온라인 공개강좌(K-MOOC) 운영..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19785
2023-03-22,[학술문화정보원] 제13회 Digital Library 박람회 개최 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=2&mode=view&idx=19784
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=14618
2023-03-22,[학술문화정보원] ★ 2023학년도 독서클럽 회원 모집 ★,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19783
2023-03-20,케빈의 음악 스크림 - 찾아가는 락樂케스 공연 안내(아프리카TV),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19776
2023-03-20,[학생상담센터] 2023학년도 3월 찾아가는 이동상담소 운영 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19775
2023-03-20,동신대학교 입학서포터즈 모집안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19773
2023-03-17,[인권센터] 2023학년도 양성평등 및 인권 캠페인 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19768
2023-03-17,2023년 동신대학교 동신방송국 제2기 모집 (기간 연장),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19767
2023-03-15,[학생상담센터] 2023학년 1학기 학생상담센터 힐링시리즈 프로그램 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19753
2023-03-15,[대학일자리플러스센터] 2023 1회차 워크북컨설팅프로그램 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19752
2023-03-15,동신대학교 임직원을 위한 특별한 할인 행사 - LG전자(나주점),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19750
2023-03-15,"[학생지원팀] 2023학년도 1학기 동신가족사랑(1가구 2가족, 본교출신..",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=3&mode=view&idx=19748
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=14618
2023-03-15,[학생지원팀] 2023학년도 대학생 청소년 교육 지원 사업 멘토 모집 안..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19746
2023-03-15,[CTL] 2023학년도 새내기를 위한 '꿀팁백서' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19744
2023-03-14,2023학년도 제26기 동신대학교 홍보대사 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19742
2023-03-14,[학술문화정보원] 학술연구정보서비스(RISS) 및 핵심 전자저널/DB 온..,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19732
2023-03-13,2023 동신대학교 제12기 블로그 기자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19730
2023-03-13,교무연구팀 관련 규정 제ㆍ개정 (안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19726
2023-03-13,[학술문화정보원] 외국학술지지원센터 무료 원문 복사 서비스 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19725
2023-03-13,2023학년도 신입생 동신대 핵심역량진단검사(D-CESA),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19724
2023-03-10,대학생 글로벌 비전캠프 많은 관심 부탁드립니다!,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19710
2023-03-09,학술문화정보원 관련 규정 제ㆍ개정 (안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19706
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=14618
2023-03-09,국제교육원 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19704
